"word","class"
"excited",3
"excited",3
"excited",3
"encouraged",3
"excited",3
"happy",3
"ambitious",3
"excited",3
"excited",3
"excited",3
"excited",3
"excited",3
"normal",3
"enthusiastic",3
"hard",3
"nervous",3
"excited",3
"excited",3
"fascinating",3
"excited",3
"excited",3
"excited",3
"excited",3
"excited",3
"exciting",3
"familiar",3
"happy",3
"inspired",3
"excited",3
"responsible",3
"excited",3
"relax",3
"humorous",3
"excited",3
"excited",3
"excited",3
"prepared",3
"difficult",3
"ok",3
"elated",3
"good",3
"excited",3
"excited",3
"ready",3
"expecting",3
"excited",3
"prepared",3
"professional",3
"excited",3
"expectant",3
"prepared",3
"simple",3
"nice",3
"responsible",3
"happy",3
"happy",3
"surer",3
"excited",3
"excited",3
"hopeful",3
"excited",3
"anxious",3
"excited",3
"common",3
"happy",3
"friendly",3
"successful",3
"excited",3
"significative",3
"normal",3
"excited",3
"ready",3
